"Date","Price","Open","High","Low","Vol.","Change %"
"05/23/2024","2359.70","2405.30","2407.90","2350.50","64.70K","-2.32%"
"05/24/2024","2356.90","2352.50","2371.30","2348.70","48.41K","-0.12%"
"05/27/2024","2356.50","2338.00","2365.50","2333.80","105.47K","-0.02%"
"05/28/2024","2379.30","2359.80","2388.00","2356.90","129.15K","0.97%"
"05/29/2024","2364.10","2384.70","2386.00","2356.60","172.06K","-0.64%"
"05/30/2024","2389.30","2382.80","2394.40","2367.00","3.32K","1.07%"
"05/31/2024","2368.50","2388.20","2404.00","2364.90","2.31K","-0.87%"
"06/03/2024","2392.00","2370.00","2398.00","2357.50","1.70K","0.99%"
"06/04/2024","2369.70","2393.20","2394.10","2358.50","2.34K","-0.93%"
"06/05/2024","2398.10","2370.10","2399.90","2368.00","2.77K","1.20%"
"06/06/2024","2413.70","2399.50","2420.40","2395.30","2.59K","0.65%"
"06/07/2024","2347.60","2417.90","2429.20","2326.90","4.40K","-2.74%"
"06/10/2024","2349.60","2330.00","2353.10","2327.20","1.11K","0.09%"
"06/11/2024","2349.10","2350.20","2359.60","2337.60","1.13K","-0.02%"
"06/12/2024","2377.50","2353.50","2381.10","2350.30","2.44K","1.21%"
"06/13/2024","2340.60","2363.40","2365.00","2334.30","1.91K","-1.55%"
"06/14/2024","2371.90","2340.90","2374.10","2340.60","1.63K","1.34%"
"06/17/2024","2351.80","2369.20","2369.20","2347.40","1.17K","-0.85%"
"06/18/2024","2369.50","2356.90","2370.50","2345.00","0.86K","0.75%"
"06/19/2024","2343.00","2342.95","2349.65","2338.60","","-1.12%"
"06/20/2024","2391.80","2366.70","2402.20","2361.40","2.55K","2.08%"
"06/21/2024","2353.90","2394.60","2403.50","2352.00","2.20K","-1.58%"
"06/24/2024","2367.20","2354.50","2370.10","2353.10","1.06K","0.57%"
"06/25/2024","2353.50","2366.70","2372.20","2350.00","1.83K","-0.58%"
"06/26/2024","2335.90","2355.80","2357.70","2327.50","3.77K","-0.75%"
"06/27/2024","2359.30","2331.80","2364.30","2330.00","3.55K","1.00%"
"06/28/2024","2362.50","2359.70","2373.10","2352.60","2.98K","0.14%"
"07/01/2024","2361.90","2356.30","2371.00","2350.90","2.30K","-0.03%"
"07/02/2024","2356.40","2364.00","2368.80","2350.80","5.80K","-0.23%"
"07/03/2024","2392.60","2362.00","2397.50","2360.00","6.49K","1.54%"
"07/04/2024","2364.60","2367.20","2371.05","2359.35","","-1.17%"
"07/05/2024","2421.10","2387.90","2424.80","2380.00","4.92K","2.39%"
"07/08/2024","2387.00","2419.00","2422.10","2382.00","10.24K","-1.41%"
"07/09/2024","2391.20","2390.30","2400.80","2380.00","7.64K","0.18%"
"07/10/2024","2403.20","2393.90","2416.70","2393.30","5.84K","0.50%"
"07/11/2024","2445.60","2401.20","2453.80","2400.90","9.84K","1.76%"
"07/12/2024","2444.50","2444.80","2446.80","2420.00","7.07K","-0.04%"
"07/15/2024","2452.90","2444.20","2468.80","2430.00","6.43K","0.34%"
"07/16/2024","2492.00","2452.40","2498.20","2448.70","12.75K","1.59%"
"07/17/2024","2484.30","2497.20","2512.80","2480.20","12.31K","-0.31%"
"07/18/2024","2480.80","2487.00","2502.60","2467.30","7.85K","-0.14%"
"07/19/2024","2423.00","2470.40","2471.60","2419.60","14.44K","-2.33%"
"07/22/2024","2418.40","2427.50","2438.10","2409.00","8.82K","-0.19%"
"07/23/2024","2431.00","2421.80","2437.10","2413.30","12.13K","0.52%"
"07/24/2024","2439.60","2432.60","2456.70","2420.90","13.60K","0.35%"
"07/25/2024","2376.60","2420.50","2423.80","2375.10","28.16K","-2.58%"
"07/26/2024","2404.50","2386.50","2413.30","2378.00","14.23K","1.17%"
"07/29/2024","2401.80","2410.10","2425.30","2391.60","26.11K","-0.11%"
"07/30/2024","2451.90","2429.00","2458.30","2421.50","172.97K","2.09%"
"07/31/2024","2473.00","2455.60","2496.60","2449.20","176.27K","0.86%"
"08/01/2024","2480.80","2493.40","2506.60","2474.00","219.83K","0.32%"
"08/02/2024","2469.80","2490.80","2522.50","2453.10","309.94K","-0.44%"
"08/05/2024","2444.40","2490.30","2500.80","2403.80","352.23K","-1.03%"
"08/06/2024","2431.60","2451.70","2459.50","2421.80","186.11K","-0.52%"
"08/07/2024","2432.40","2432.60","2447.30","2418.80","166.08K","0.03%"
